1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
1077627.75,1070659.62,842941.69,851235.25,1077627.75,845341.69,837165.31,895159.31,837165.31,843050.00,848959.44,847979.75,1036000.00,854734.69,842288.56,853748.31,855817.56,1036000.00,859595.88,1031073.75,943714.81,968290.88,939984.12,945414.00,925080.44,934713.25,926472.19,934713.25,953185.81,943148.38,1107629.50,1110085.38,1106405.50,1110085.38,1140429.38,1103965.88,1111157.62,1108856.00,1106405.50,1110085.38,1083654.75,1084828.88,1088366.25,1087184.62,1086005.38,1086005.38,1122530.25,1090737.50,1084828.88,1086005.38,1066604.38,1056356.50,1058283.38,1067619.62,1063647.00,1068609.50,1060881.25,1060945.12,1066372.00,1096699.75,1137286.50,1138451.62,1139229.62,1137286.50,1131496.50,1136123.62,1138710.75,1139083.50,1135865.62,1135736.75,1121347.38,1121866.62,1123236.38,1126652.88,1126399.12,1125021.50,1126795.88,1126145.38,1126652.88,1122228.12,1106139.88,1101873.50,1103209.25,1105912.88,1102147.00,1108183.38,1108344.62,1108291.25,1105612.38,1104184.88
22,21,46,47,22,47,48,40,49,47,64,66,38,64,66,64,64,38,63,38,93,85,111,92,96,94,112,95,92,92,48,46,46,46,21,49,44,46,48,46,64,63,63,65,66,66,43,63,64,64,109,113,93,108,110,109,111,112,93,94,46,48,22,46,49,46,23,22,48,49,67,68,67,49,65,67,43,67,65,64,103,95,97,95,100,95,105,95,93,96
0.09,0.09,0.12,0.12,0.09,0.12,0.12,0.11,0.12,0.12,0.15,0.15,0.12,0.15,0.15,0.15,0.15,0.12,0.15,0.12,0.26,0.25,0.25,0.26,0.26,0.26,0.25,0.26,0.25,0.26,0.90,0.90,0.90,0.90,0.88,0.91,0.90,0.90,0.90,0.90,0.92,0.92,0.92,0.92,0.92,0.92,0.89,0.92,0.92,0.92,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.95,0.94,0.94,8.79,8.78,8.78,8.79,8.84,8.80,8.78,8.78,8.81,8.81,8.92,8.91,8.90,8.88,8.88,8.89,8.88,8.88,8.88,8.91,9.05,9.09,9.07,9.05,9.08,9.03,9.03,9.02,9.05,9.06
1024387.81,974660.19,1003900.00,1003900.00,1014040.44,1003900.00,1303766.25,974660.19,974660.19,1303766.25,1145120.00,928701.31,917564.06,925161.31,953907.31,941437.94,938300.69,906918.25,937908.50,1135193.88,910790.94,910344.88,924942.56,787836.25,872978.69,1095918.38,894245.81,917784.12,867633.62,910790.94,1460423.38,1464699.75,1464699.75,1464699.75,1464699.75,1456171.75,1464699.75,1458294.50,1460423.38,1469001.50,1441385.75,1441942.88,1441385.75,1441064.75,1438945.88,1441385.75,1441385.75,1437279.12,1442889.88,1437279.12,1387598.00,1391318.38,1359517.00,1387290.38,1395850.88,1391350.62,1400040.00,1403080.12,1399735.88,1384010.50,1483517.25,1484398.12,1480661.75,1483957.62,1484177.88,1483297.25,1483957.62,1482857.38,1480004.50,1482417.75,1474784.12,1458877.75,1477547.62,1458877.75,1470393.62,1475596.38,1469304.12,1458608.25,1465159.62,1476960.38,1477850.00,1471165.12,1463597.38,1464972.88,1471880.88,1469800.38,1473507.12,1470004.38,1468487.38,1473074.25
61,65,63,63,62,63,40,66,65,41,75,100,105,103,100,102,102,107,103,78,161,159,158,156,131,131,164,160,125,161,42,40,40,40,40,41,41,42,41,38,91,90,91,92,89,91,91,91,91,91,205,204,167,202,204,205,201,185,208,203,40,38,40,38,39,40,38,40,38,38,92,94,92,94,93,91,91,95,93,90,163,203,210,206,205,209,164,208,164,163
0.10,0.10,0.10,0.10,0.10,0.10,0.08,0.10,0.10,0.08,0.12,0.15,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.13,0.18,0.17,0.17,0.17,0.14,0.15,0.18,0.18,0.13,0.18,0.69,0.68,0.68,0.68,0.68,0.69,0.68,0.69,0.69,0.68,0.70,0.70,0.70,0.69,0.70,0.70,0.70,0.70,0.70,0.70,0.77,0.80,0.77,0.77,0.81,0.77,0.75,0.74,0.80,0.76,6.74,6.74,6.75,6.74,6.74,6.74,6.74,6.74,6.76,6.75,6.79,6.86,6.77,6.86,6.81,6.78,6.81,6.86,6.83,6.78,6.79,6.81,6.84,6.83,6.80,6.81,6.81,6.80,6.83,6.81
382274.81,381786.28,382274.81,383249.03,382274.81,383249.03,385215.41,422599.16,380821.28,380821.28,392661.72,393247.50,421411.12,391694.59,422946.81,391694.59,391694.59,393633.66,390732.19,392078.84,407989.44,407166.22,407214.47,408144.88,421180.16,421509.88,408577.50,407091.62,421463.69,409403.97,428515.84,428699.53,427417.12,427234.50,428515.84,427599.84,428332.31,428148.97,427052.09,427782.72,425417.25,425055.69,425055.69,425960.81,425598.31,425779.50,425417.25,425598.31,425960.81,426142.34,424446.16,424137.62,424101.84,424820.31,424900.91,424861.25,424734.03,424880.34,424857.34,425004.62,428437.34,428419.00,427905.69,428052.22,427576.34,427924.00,427869.09,428217.19,428033.88,428125.53,425538.56,426082.50,426191.44,426155.12,426046.19,425919.16,426118.78,426155.12,426373.16,426245.94,424400.47,424325.97,424495.19,424558.66,424408.31,424486.31,424326.69,423881.50,423452.31,424034.09
71,72,71,71,71,71,69,47,71,72,113,112,85,114,84,114,113,112,114,113,289,290,302,185,252,257,286,187,263,287,57,57,57,55,57,58,57,58,57,57,93,94,93,93,93,93,94,93,93,93,258,253,257,267,262,257,252,267,262,262,63,63,63,63,64,63,63,63,64,64,115,116,116,115,116,116,115,115,116,116,256,278,265,271,270,273,257,255,264,256
0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.24,0.26,0.26,0.41,0.40,0.38,0.41,0.38,0.41,0.41,0.40,0.41,0.41,0.76,0.76,0.77,0.77,0.70,0.71,0.75,0.77,0.72,0.75,2.33,2.33,2.34,2.34,2.33,2.34,2.34,2.34,2.34,2.34,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.59,2.59,2.59,2.60,2.59,2.59,2.58,2.60,2.59,2.59,23.34,23.34,23.37,23.36,23.39,23.37,23.37,23.35,23.36,23.36,23.50,23.47,23.46,23.47,23.47,23.48,23.47,23.47,23.45,23.46,23.56,23.57,23.56,23.56,23.57,23.57,23.57,23.59,23.62,23.59
943196.25,921660.56,947745.31,905054.06,956771.44,877582.56,930194.44,947745.31,851364.38,938887.81,721548.50,709572.62,720573.81,718516.81,720392.38,709572.62,725766.94,716558.38,724605.94,607964.69,527497.88,534676.62,537456.94,536314.69,638665.25,601186.56,516594.16,534008.62,526394.06,595330.12,985064.44,984157.12,981813.38,972627.94,976065.75,983389.81,976674.06,975060.44,955489.12,965378.31,941956.00,949505.69,942943.75,938906.69,940762.88,952460.69,952340.31,954677.75,957273.75,957830.62,898582.44,894676.56,892050.62,891766.19,902216.56,905682.44,907942.19,898519.12,894437.38,889785.00,970413.38,987796.88,985252.50,984617.62,983404.06,985752.62,986460.75,987583.50,981222.50,979371.62,952091.75,948483.19,950364.06,950496.44,948642.12,956276.38,950274.19,951744.44,948215.56,944409.75,939152.12,937934.75,935607.12,936717.81,936940.94,935569.94,936112.44,937091.38,936339.44,937444.06
