1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
89928.05,90497.73,90661.83,90497.73,91157.70,91575.09,90334.23,89928.05,91911.76,90497.73,91324.20,90415.91,91324.20,90579.71,88183.43,91324.20,88809.95,90171.33,91575.09,90252.70,84602.37,85470.09,86132.64,84674.01,84317.03,85251.49,86132.64,85324.23,87565.68,85397.09,92225.40,91734.70,91659.03,90301.60,92242.41,91024.94,91499.68,91709.46,92678.41,90851.27,90686.49,90637.18,90983.53,91124.48,90900.82,89790.79,91016.65,90195.73,90546.91,90760.58,86903.62,86813.09,87221.98,86340.88,86903.62,87558.01,86572.59,86140.06,85273.30,85962.34,90384.86,92137.88,91690.12,91327.54,91057.27,92529.20,91888.96,92607.17,91494.66,90913.22,91300.85,90700.48,91286.69,91256.70,90517.40,91510.56,91501.35,90971.12,90207.11,90330.97,85716.98,86778.44,86206.16,85439.41,85758.88,87295.84,86496.96,84381.77,85983.04,85742.70
3,3,2,2,2,1,2,2,1,2,5,6,5,6,6,5,7,5,5,6,12,11,11,12,11,12,11,12,7,11,3,2,2,3,3,4,4,3,3,2,5,5,5,5,2,5,5,5,5,5,11,11,11,11,11,11,8,11,11,7,4,3,4,4,4,4,4,4,4,4,7,7,6,6,7,6,6,6,6,6,14,15,14,15,14,15,11,14,15,15
1.11,1.11,1.10,1.11,1.10,1.09,1.11,1.11,1.09,1.11,1.10,1.11,1.10,1.10,1.13,1.10,1.13,1.11,1.09,1.11,1.18,1.17,1.16,1.18,1.19,1.17,1.16,1.17,1.14,1.17,10.84,10.90,10.91,11.07,10.84,10.99,10.93,10.90,10.79,11.01,11.03,11.03,10.99,10.97,11.00,11.14,10.99,11.09,11.04,11.02,11.51,11.52,11.47,11.58,11.51,11.42,11.55,11.61,11.73,11.63,110.64,108.53,109.06,109.50,109.82,108.07,108.83,107.98,109.30,110.00,109.53,110.25,109.54,109.58,110.48,109.28,109.29,109.93,110.86,110.70,116.66,115.24,116.00,117.04,116.61,114.55,115.61,118.51,116.30,116.63
92421.44,91157.70,91491.30,91491.30,90497.73,91659.03,90826.52,90252.70,90909.09,90991.81,89047.20,89766.61,90826.52,90334.23,89525.52,89766.61,88183.43,89847.26,89766.61,89847.26,84530.86,87489.06,85836.91,84745.77,84317.03,84889.65,86132.64,86355.79,86132.64,88183.43,92353.16,92370.22,91835.80,90909.09,92524.06,91633.83,92472.72,92131.93,92524.06,92064.07,90711.17,90155.07,91141.09,90628.96,90991.81,91166.02,90612.54,91124.48,90350.56,90383.23,87343.87,87427.88,87374.40,86408.02,87108.02,87642.42,87237.20,86370.70,85836.91,86206.89,90672.52,92229.65,91751.54,91907.54,91614.52,92430.84,92233.91,92638.05,91761.64,91369.26,91330.04,90938.03,91554.97,91100.41,90454.35,91435.27,91058.09,90726.81,90601.87,90528.88,85572.48,86177.92,86169.01,85141.89,85941.66,86888.52,86334.16,83608.54,86260.44,85140.44
1,2,2,2,2,2,2,2,2,2,6,6,5,5,5,5,5,5,5,4,11,7,11,11,11,11,10,10,10,7,3,3,3,2,2,1,2,1,1,1,5,3,3,4,3,3,5,5,5,4,6,6,6,6,6,8,7,6,6,7,4,3,4,4,4,4,2,1,4,4,6,6,6,6,6,6,6,6,6,6,9,10,10,11,11,11,11,12,12,12
1.08,1.10,1.09,1.09,1.11,1.09,1.10,1.11,1.10,1.10,1.12,1.11,1.10,1.11,1.12,1.11,1.13,1.11,1.11,1.11,1.18,1.14,1.16,1.18,1.19,1.18,1.16,1.16,1.16,1.13,10.83,10.83,10.89,11.00,10.81,10.91,10.81,10.85,10.81,10.86,11.02,11.09,10.97,11.03,10.99,10.97,11.04,10.97,11.07,11.06,11.45,11.44,11.44,11.57,11.48,11.41,11.46,11.58,11.65,11.60,110.29,108.43,108.99,108.81,109.15,108.19,108.42,107.95,108.98,109.45,109.49,109.96,109.22,109.77,110.55,109.37,109.82,110.22,110.37,110.46,116.86,116.04,116.05,117.45,116.36,115.09,115.83,119.61,115.93,117.45
94161.95,93808.63,93984.96,94517.96,94339.62,94786.73,94428.70,93283.58,95147.48,94966.77,91407.68,91659.03,90661.83,92336.11,90009.01,93545.37,89766.61,91743.12,91575.09,91743.12,87719.30,86206.90,88573.96,87336.24,85324.23,86281.27,89126.56,86281.27,88105.73,85616.44,96283.46,96190.84,94912.68,94661.11,96052.25,95401.64,96927.40,95675.47,97191.18,95492.74,93659.27,93852.66,94652.16,94598.43,93668.05,93993.80,94984.80,95584.02,94357.43,93755.86,88245.68,88573.96,88566.11,88644.62,89094.80,88550.43,88082.45,87819.45,86933.84,87796.31,93749.71,96398.55,96296.44,96461.78,95761.59,96291.80,96499.95,96366.03,95439.88,94791.22,94288.92,93996.45,94219.62,94504.55,93917.88,94580.53,94472.42,94792.12,94210.75,93419.53,87229.59,88199.76,87417.94,86802.54,87351.50,88206.76,87785.52,85510.28,87946.88,86360.26
2,2,2,1,1,1,2,2,1,1,6,6,5,6,6,4,5,5,6,5,6,13,7,7,13,15,7,10,6,12,2,2,1,2,2,2,2,1,1,2,3,3,3,3,7,6,3,3,3,3,6,6,6,6,10,6,6,8,6,6,12,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,16,15,15,19,20,20,21,21,21,21,21,22,22
1.06,1.07,1.06,1.06,1.06,1.05,1.06,1.07,1.05,1.05,1.09,1.09,1.10,1.08,1.11,1.07,1.11,1.09,1.09,1.09,1.14,1.16,1.13,1.14,1.17,1.16,1.12,1.16,1.13,1.17,10.39,10.40,10.54,10.56,10.41,10.48,10.32,10.45,10.29,10.47,10.68,10.65,10.56,10.57,10.68,10.64,10.53,10.46,10.60,10.67,11.33,11.29,11.29,11.28,11.22,11.29,11.35,11.39,11.50,11.39,106.67,103.74,103.85,103.67,104.43,103.85,103.63,103.77,104.78,105.50,106.06,106.39,106.14,105.82,106.48,105.73,105.85,105.49,106.14,107.04,114.64,113.38,114.39,115.20,114.48,113.37,113.91,116.94,113.71,115.79
91491.30,90661.83,89605.73,91659.03,89126.56,90579.71,90991.81,90826.52,91074.68,91491.30,88967.98,91743.12,88888.89,89928.05,89525.52,91575.09,88417.33,91827.37,89605.73,89928.05,86655.11,86956.52,85324.23,84602.37,84602.37,87183.96,87489.06,87108.02,87108.02,85251.49,92199.89,91684.24,91852.66,90407.74,92558.31,91516.43,92816.04,92310.53,92876.38,91861.11,89855.34,90009.00,91008.38,91157.70,90538.70,90293.45,90587.92,91802.08,90983.53,90694.72,86430.43,86497.71,86941.41,86393.09,86911.18,87489.06,86422.95,86737.79,85287.84,86058.52,90030.88,92474.43,92150.61,91761.64,91240.05,92572.02,92397.53,92688.71,91665.75,90919.01,91505.55,90454.35,90651.97,90732.58,89850.49,91569.22,91335.05,90399.56,90202.23,89950.71,85078.14,85664.11,85832.49,84455.18,85103.48,86457.32,85804.51,84008.20,85433.57,84467.30
2,2,2,1,2,2,2,2,2,2,4,4,4,5,4,4,5,4,4,5,6,7,11,11,9,6,6,6,6,10,1,2,1,1,1,1,2,1,1,1,3,7,7,2,3,3,3,3,3,3,6,6,11,6,7,6,6,6,6,11,16,16,16,16,16,16,16,16,17,17,19,19,19,19,19,19,19,19,19,19,18,24,19,19,20,20,20,21,21,22
1.09,1.10,1.12,1.09,1.12,1.10,1.10,1.10,1.10,1.09,1.12,1.09,1.12,1.11,1.12,1.09,1.13,1.09,1.12,1.11,1.15,1.15,1.17,1.18,1.18,1.15,1.14,1.15,1.15,1.17,10.85,10.91,10.89,11.06,10.80,10.93,10.77,10.83,10.77,10.89,11.13,11.11,10.99,10.97,11.05,11.07,11.04,10.89,10.99,11.03,11.57,11.56,11.50,11.57,11.51,11.43,11.57,11.53,11.73,11.62,111.07,108.14,108.52,108.98,109.60,108.02,108.23,107.89,109.09,109.99,109.28,110.55,110.31,110.21,111.30,109.21,109.49,110.62,110.86,111.17,117.54,116.74,116.51,118.41,117.50,115.66,116.54,119.04,117.05,118.39
